mean,regionname,state
313769.9375,Woodbourne,PA
32706.828125,Waurika,OK
93520.078125,Forward Township,PA
187127.703125,Taghkanic,NY
36720.0820312,Homestead,PA
81586.34375,Muncie,IN
270846.96875,New Cassel,NY
130608.835938,Montross,VA
253382.328125,Wellington,NV
180844.984375,Nottingham,MD
141299.203125,Amherst,VA
111734.539062,Rio Rico,AZ
37088.3515625,Town of North Collins,NY
220546.1875,Scenic Oaks,TX
132247.796875,Lempster,NH
148903.609375,Meridian,ID
104078.71875,Urbana,NY
170416.46875,Town of East Troy,WI
263815.25,Seattle HillSilver Firs,WA
213121.28125,Forked River,NJ
103187.546875,Navassa,NC
85199.1953125,Nesquehoning,PA
419513.78125,Placentia,CA
401354.96875,Upper Makefield,PA
122547.789062,Emmett,ID
38030.921875,Ellport,PA
125721.6875,Canadice,NY
606237.875,San Rafael,CA
131936.140625,Clarksville,MI
125063.851562,Millcreek Township,PA
116517.671875,San Tan Valley,AZ
89446.1875,Franklinville,NC
152067.46875,Alstead,NH
98804.015625,Mishawaka,IN
179909.640625,Hardy,VA
208759.4375,Marlboro,NY
272822.875,Spring Grove,IL
85071.484375,Lafollette,TN
160434.53125,Evergreen Park,IL
77264.2578125,Lucedale,MS
185030.125,West Jordan,UT
67406.0234375,Hanley Hills,MO
126866.664062,Kerhonkson,NY
68061.4453125,Huntsville,AL
342770.6875,Takoma Park,MD
158475.09375,Boiling Springs,PA
121096.789062,Maricopa,AZ
107510.445312,Fairview Heights,IL
399403.5625,Orange,CA
229966.265625,Compton,CA
242881.53125,Lee,NH
158837.34375,Easton,CT
212081.53125,Barberton,WA
138139.765625,Delta,CO
126818.476562,Culleoka,TN
416638.8125,San Juan Capistrano,CA
136322.484375,Pflugerville,TX
63321.6875,Jackson,MI
136345.375,Elizabethtown,PA
240150.609375,Upper Dublin,PA
135324.5,Mary Esther,FL
251468.671875,Weston,FL
112737.75,Cortland,OH
122535.742188,Hagerstown,MD
341261.875,Oak Hill,TN
317508.71875,Oxnard,CA
160569.484375,Floyds Knobs,IN
139398.390625,Twin Falls,ID
173557.828125,Earl Township,PA
206393.578125,Farmington,UT
145256.625,Seat Pleasant,MD
136571.484375,Appling,GA
26818.0722656,Copperas Cove,TX
205724.5,Woodland,WA
206183.53125,Nashua,NH
108485.539062,Fife Lake,MI
118315.257812,Lake Wales,FL
196982.734375,Ashburnham,MA
107422.085938,Saint Paris,OH
122101.609375,Keystone Heights,FL
157351.40625,Clayton,WA
164941.359375,Holt,MO
80402.40625,Longview,NC
231245.78125,Upper Salford Township,PA
355783.15625,Santa Rosa,CA
230719.28125,Rocky Hill,CT
29750.6015625,Gulfport,MS
347698.4375,Rehoboth Beach,DE
50865.8632812,West Fargo,ND
70541.3671875,Wesleyville,PA
259704.015625,Stevensville,MD
29443.7753906,Athens,MI
120776.304688,Hickory,NC
110540.5625,Oakdale,PA
100708.835938,Zephyrhills,FL
153323.296875,Bright,IN
208512.453125,Millersburg,OR
97235.7421875,Converse,TX
96969.078125,Town of Phelps,NY
128850.203125,Pleasant Gap,PA
247997.984375,Center Harbor,NH
79575.90625,Fairmount,IN
89187.1484375,Lincolnton,NC
133516.0625,South Holland,IL
44831.3242188,Mc Donald,PA
97963.8515625,Westmoreland,TN
208784.34375,Seatac,WA
325122.0,Randolph,NJ
130605.21875,McDonough,GA
99407.2265625,Church Hill,TN
202392.765625,Hillsboro,OR
288609.15625,Gaithersburg,MD
775629.75,New Shoreham,RI
204955.421875,Oak Harbor,WA
150290.765625,Benner Township,PA
354172.28125,East La Mirada,CA
292929.34375,Saddle Brook,NJ
357171.03125,Stow,MA
117780.726562,East Helena,MT
89428.109375,Lucasville,OH
264100.8125,Wildwood,MO
228105.21875,Elmwood Park,IL
160242.5625,West Grove,PA
87402.8125,Martinsville,IN
302228.5,Applegate,CA
140852.609375,Spokane Valley,WA
235638.953125,West Miami,FL
132371.484375,Campobello,SC
165135.34375,Churchville,VA
522743.78125,South San Francisco,CA
192619.28125,Voorhees,NJ
124297.1875,Sweet Home,OR
98297.9921875,Red Bank,TN
180297.1875,New Freedom,PA
250331.328125,Gardiner,NY
64279.9179688,West Monroe,NY
161277.90625,Cold Spring,KY
135210.046875,Tulare,CA
127740.164062,Shavano Park,TX
82320.078125,BatesburgLeesville,SC
94254.21875,Avenal,CA
306835.71875,Orange,CT
132552.609375,Barnhart,MO
143995.984375,Alachua,FL
118671.890625,Berea,OH
44093.5742188,Milford,VA
108086.75,Bedford Heights,OH
168032.53125,Chelsea,AL
66829.3203125,Ontario,OR
211387.15625,Northampton,MA
107914.054688,Fillmore,IN
125597.992188,Bethlehem,PA
139236.953125,CarnotMoon,PA
119904.414062,Bryant,AR
683927.25,Scarsdale,NY
96944.1796875,Fountain,FL
147651.0,Edwards,IL
322394.09375,Westport,MA
118912.453125,Franklinton,NC
245641.359375,Lindon,UT
145011.640625,Houston,DE
307592.34375,Newfields,NH
61873.8945312,East Mc Keesport,PA
119997.1875,Gun Barrel City,TX
890541.6875,Boca Grande,FL
126140.960938,Lebanon,OR
244331.328125,Leonard,MI
147497.1875,New London,CT
198375.90625,Kalama,WA
232199.203125,Winfield,IL
86235.34375,Coolidge,AZ
187093.171875,Franklin Park,PA
147665.0625,Onsted,MI
40467.8710938,Sturgeon,PA
162953.8125,Rosedale,MD
110432.125,Varick,NY
109673.492188,Maypearl,TX
262655.8125,Itasca,IL
102575.5,Wolfforth,TX
173295.578125,Port Deposit,MD
973103.5625,Kentfield,CA
124340.5625,Krum,TX
70753.015625,Eveleth,MN
307883.59375,Warren,CT
113118.070312,Sandusky South,OH
260619.671875,Kennett Township,PA
100397.992188,Dover,AR
229896.390625,Sequim,WA
175386.75,Alexander,NC
422795.4375,Lake Forest,CA
205822.484375,Palos Hills,IL
251669.875,Montclair,CA
434463.90625,Fair Haven,NJ
52742.9726562,Berger,MO
151137.34375,Town of Plymouth,NH
180020.484375,Palm Harbor,FL
200677.515625,Catonsville,MD
140001.203125,Morton,IL
63169.4765625,Hartford City,IN
174943.375,Van Buren Township,MI
175271.078125,East Riverdale,MD
135808.4375,Yreka,CA
35865.4609375,Grand Coulee,WA
128105.625,DeMotte,IN
31934.9394531,Perryville,MO
240242.5625,Centereach,NY
483203.15625,Cohasset,MA
188752.609375,Malabar,FL
149155.421875,Hudsonville,MI
106642.96875,Mohawk,NY
164815.65625,Bridgeport,CT
207748.59375,Oak Grove,OR
90144.1796875,Milan,NY
208353.015625,Leawood,KS
115548.59375,Greenwell Springs,LA
114896.382812,Hemby Bridge,NC
327170.6875,The Plains,VA
247117.265625,Middleborough,MA
33142.5703125,Walhalla,SC
180853.015625,Highland,NY
436244.21875,Mission Viejo,CA
43372.6914062,Petersburg,KY
174678.3125,Bristol,CT
293931.78125,Marshall,VA
100043.773438,Rittman,OH
140341.359375,Laurel,VA
282011.25,Dunwoody,GA
110992.773438,Madison Heights,VA
428505.65625,Brea,CA
141972.296875,Turners Falls,MA
132306.03125,Cherry Grove,OH
230992.375,Spring Branch,TX
261287.546875,Lake Tanglewood,TX
109351.007812,Yukon,OK
444359.40625,San Gabriel,CA
259260.640625,Elm Grove,WI
146600.40625,Alsace Township,PA
99211.6484375,Monroeville,IN
94782.328125,Theodore,AL
77614.4609375,Winamac,IN
285799.1875,Bloomfield Hills,MI
188696.390625,Myrtle Grove,NC
188421.28125,Turner,OR
73249.3984375,Griffith,IN
103563.851562,Edgemont Park,MI
157798.390625,Hinckley,OH
154244.984375,Micanopy,FL
29882.3300781,Diberville,MS
187346.984375,Beachwood,NJ
151070.28125,Beach Park,IL
221424.09375,Bartlett,IL
170754.625,Laconia,NH
166686.75,Caernarvon Township,PA
267209.625,Colonia,NJ
183832.53125,Smithsburg,MD
157871.484375,Sewickley,PA
188619.671875,Newberg,OR
100327.710938,Woodstock,VA
133023.6875,Burns Harbor,IN
135992.765625,Tavares,FL
44902.4101562,Town of Argyle,NY
96342.171875,Town of Homer,NY
138897.59375,Tallahassee,FL
158917.265625,Hershey,PA
126908.4375,Medford,MN
133687.15625,Daphne,AL
361999.34375,Glendora,CA
41807.6289062,Town of Wilson,NY
120007.632812,Callaway,FL
219185.9375,Pleasant View,UT
86124.09375,Amherst,NH
40790.3632812,Muscatine,IA
550197.875,Capitola,CA
183270.6875,Pikesville,MD
196612.84375,Orchard Homes,MT
65583.53125,Steelton,PA
106043.773438,Milan,IN
97256.2265625,West End,NY
83005.625,Jefferson,NY
118810.039062,Norristown,PA
269201.59375,Fulshear,TX
138459.84375,Cortland West,NY
76793.171875,Hephzibah,GA
75388.7578125,Hernando Beach,FL
129641.367188,Blue Ridge,TX
190318.078125,Earl Township,PA
93871.0859375,South Charleston,WV
180203.21875,Flat Rock,NC
123905.625,Yeehaw Junction,FL
115835.742188,Munford,TN
196394.375,Rialto,CA
63687.5507812,Summit Hill,PA
103136.148438,Clay,NY
239613.65625,Angels,CA
89828.109375,Milan,NH
269322.90625,Portsmouth,RI
255052.609375,Town of Litchfield,CT
122413.25,River Ridge,LA
134751.40625,Waverly,NE
113452.609375,Williamson,GA
103558.234375,Rutland,NY
168756.21875,Red Hill,PA
128261.445312,Flying Hills,PA
109821.28125,Universal City,TX
91674.296875,Village Green,NY
164173.5,Stayton,OR
153210.4375,Palm Coast,FL
204172.6875,Derry,NH
139926.5,Lorane,PA
140342.171875,Rye,CO
260015.265625,Maple Valley,WA
439142.09375,Pleasant Hill,CA
107595.179688,West Hills,PA
83264.2578125,Oneida,NY
358498.0625,Northbrook,IL
180898.390625,Stoddard,NH
78053.015625,Oxford,IN
86012.046875,Montrose Township,MI
490624.3125,Town of Mamaroneck,NY
224046.984375,North Stonington,CT
291924.90625,Port Hueneme,CA
100127.3125,Asheboro,NC
155883.9375,Anderson,CA
349571.90625,Mountain Brook,AL
149036.953125,Eyota,MN
97342.5703125,Butler Township,PA
84355.421875,Butlerville,IN
220240.96875,Jacksonville Beach,FL
159685.546875,Golden Glades,FL
87043.375,Nashville,MI
162466.671875,Fulton,PA
150283.125,Wayne Township,PA
94517.265625,St Joseph Township,MI
74574.6953125,Royal Center,IN
178466.265625,Niceville,FL
40913.2539062,Wewahitchka,FL
296142.65625,Bethany,CT
220965.859375,FlorenceGraham,CA
236973.09375,Upper Arlington,OH
110941.765625,Moses Lake,WA
225449.796875,Brinckerhoff,NY
176926.109375,Washington,UT
173768.671875,Hialeah Gardens,FL
462058.875,South Kensington,MD
135663.859375,Paola,KS
102473.09375,Parks Township,PA
160731.328125,Town of Colonie,NY
132191.171875,Round Lake Beach,IL
111495.585938,Martinez,GA
146258.234375,Melrose,FL
62959.4375,Valley,WA
135925.703125,Monroe,OH
488507.25,Ardsley,NY
337940.875,Village of Palmetto Bay,FL
158952.203125,Maidencreek Township,PA
216189.953125,Montgomery Village,MD
102280.320312,Lagrange,IN
173312.046875,Cornelius,OR
78786.75,Caroga,NY
169157.03125,Chestertown,MD
294837.0,Blue Bell,PA
200524.5,Salida,CA
403774.0,Floral Park,NY
148653.015625,Bennett,CO
75451.40625,Holly Hill,SC
440986.625,Middleburg,VA
462586.65625,Redding,CT
163308.4375,Bay Village,OH
111253.8125,Troy,NY
213540.15625,Bellport,NY
282765.5,Moultonborough,NH
183946.984375,Mount Horeb,WI
82176.703125,Kingston,PA
128860.640625,Austinburg,OH
251414.453125,Yardley,PA
111274.695312,Clarksville,TN
197647.390625,Lower Nazareth Township,PA
312526.84375,Guerneville,CA
60275.5039062,Crooksville,OH
149815.65625,Woodfin,NC
91206.421875,Jackson,CA
60081.9257812,Westwego,LA
243442.5625,Pittsburg,CA
77279.515625,Hallsville,MO
263429.71875,Long Branch,NJ
65821.28125,Idalou,TX
132914.0625,Mankato,MN
509096.8125,Needham,MA
256669.875,Bristow,VA
88603.6171875,Fremont,IN
129019.679688,Hawthorne,CA
72108.4375,Ashland,KY
379110.3125,Seattle,WA
177512.046875,Worcester,MA
98799.1953125,Orange City,FL
276088.78125,Freeport,NY
287806.78125,North Hampton,NH
93777.9140625,North Union Township,PA
371131.75,Lely Resort,FL
111644.578125,Lindale,TX
359658.34375,Chino Hills,CA
117724.09375,Pleasant Grove,AL
122589.15625,Waddy,KY
20384.3378906,Peru,IN
168184.34375,Ocean Park,WA
105944.976562,Belen,NM
118955.421875,Silver Springs,FL
102871.484375,Soap Lake,WA
202318.078125,Mentone,CA
236911.25,Clinton,CT
641743.0625,Pacific Grove,CA
133551.40625,Sheridan,OR
197805.21875,Indio,CA
