mean,regionname
0.243477876581,West Kentucky nonmetropolitan area
3.10849698444e-07,Carbondale-Marion, IL
8.70754166995e-13,Peabody-Salem-Beverly, MA NECTA Division
6.8477032773e-07,Visalia-Porterville, CA
9.2684623826e-18,Deltona-Daytona Beach-Ormond Beach, FL
4.71899008107e-07,Carson City, NV
0.106738783367,Alexandria, LA
0.363735360413,Niles-Benton Harbor, MI
2.04078945243e-12,Washington-Arlington-Alexandria, DC-VA-MD-WV
0.0950042635749,Reno, NV
1.83203480931e-12,Seattle-Bellevue-Everett, WA Metropolitan Division
0.595827560218,Bay City, MI
2.72393212299e-08,Naples-Immokalee-Marco Island, FL
0.0604721974347,Southeast Idaho nonmetropolitan area
1.81708787926e-07,Charlottesville, VA
0.128354748514,Newark, NJ-PA Metropolitan Division
5.66688294015e-14,San Francisco-Redwood City-South San Francisco, CA Metropolitan Division
0.439229746093,Akron, OH
3.39324574238e-13,Miami-Fort Lauderdale-West Palm Beach, FL
3.48122852332e-07,Lakeland-Winter Haven, FL
0.126584570179,Fort Collins, CO
0.13553025857,Lebanon, PA
0.0732955048603,Southeast Minnesota nonmetropolitan area
6.88229720315e-11,Detroit-Dearborn-Livonia, MI Metropolitan Division
0.0847143548356,Reading, PA
1.46560734611e-07,North Port-Sarasota-Bradenton, FL
3.82479872006e-06,York-Hanover, PA
4.04534149161e-13,Boston-Cambridge-Nashua, MA-NH
0.483118115175,Shreveport-Bossier City, LA
0.134410981074,Des Moines-West Des Moines, IA
1.49119574888e-06,Ogden-Clearfield, UT
0.130370230106,Durham-Chapel Hill, NC
0.203416269952,Columbus, GA-AL
0.101666980592,Mansfield, OH
1.5105688057e-06,Olympia-Tumwater, WA
1.62893249672,Gary, IN Metropolitan Division
1.24028808621e-06,Green Bay, WI
1.80206475145e-06,Southwest New York nonmetropolitan area
0.108089809079,Prescott, AZ
0.20283009228,Nashua, NH-MA NECTA Division
0.451094709389,Lawrence, KS
4.39051443691e-19,Atlanta-Sandy Springs-Roswell, GA
6.99518150232e-14,San Jose-Sunnyvale-Santa Clara, CA
0.0859675263996,Tyler, TX
0.0747408183119,Raleigh, NC
0.183495171891,Philadelphia, PA Metropolitan Division
0.0493953402975,Danville, IL
0.258020833031,Hagerstown-Martinsburg, MD-WV
1.79286604643e-13,Anaheim-Santa Ana-Irvine, CA Metropolitan Division
4.34052239739e-07,Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
2.17597894357e-07,Vallejo-Fairfield, CA
0.100880305837,Jonesboro, AR
0.139083816479,Anchorage, AK
0.075418453353,Wilmington, DE-MD-NJ Metropolitan Division
0.252734077499,Monroe, MI
0.113487736495,Nassau County-Suffolk County, NY Metropolitan Division
0.16344218555,Elizabethtown-Fort Knox, KY
0.365374380219,Kokomo, IN
